Value_Center_Code,Global_Industry_Code,Ship_To_Region_Code,Date,Processed History,X_258,X_526,Predicted Values
17312,18738,23,20-May,546396.7,94.59713317,1569759.333,
17312,18738,23,20-Jun,534928.5,97.45204032,1398206.667,
17312,18738,23,20-Jul,521800.9,100.3069475,1226654,
17312,18738,23,20-Aug,659670,99.88751446,1222638.667,
17312,18738,23,20-Sep,617650,99.46808145,1218623.333,
17312,18738,23,20-Oct,828200,99.04864844,1214608,
17312,18738,23,20-Nov,723900,100.5027414,1374705.667,
17312,18738,23,20-Dec,496525,101.9568343,1534803.333,
17312,18738,23,21-Jan,427700,103.4109272,1694901,
17312,18738,23,21-Feb,491075,102.5755036,1679885.333,
17312,18738,23,21-Mar,612610,101.74008,1664869.667,710162.652
17312,18738,23,21-Apr,729519.8,100.9046563,1649854,761424.801
17312,18738,23,21-May,671985,99.74323882,1799117.667,700745.3862
17312,18738,23,21-Jun,903835.5,98.58182131,1948381.333,643210.5862
17312,18738,23,21-Jul,657550,97.42040381,2097645,940986.261
17312,18738,23,21-Aug,739895.1,97.26435181,1892342.667,796314.5159
17312,18738,23,21-Sep,1017160.3,97.1082998,1687040.333,878659.6159
17312,18738,23,21-Oct,1232260,96.9522478,1481738,1013637.743
17312,18738,23,21-Nov,679685,96.61406193,1638031.667,1104561.754
17312,18738,23,21-Dec,649435,96.27587606,1794325.333,551986.7536
17312,18738,23,22-Jan,628125,95.93769019,1950619,666844.9605
17312,18738,23,22-Feb,562250,95.95141851,1807730.333,627854.1473
17312,18738,23,22-Mar,752660,95.96514683,1664841.667,561979.1473
17312,18738,23,22-Apr,706593,95.97887515,1521953,632327.4986
17312,18738,23,22-May,809850,96.0177815,1709702,640788.1473
17312,18738,23,22-Jun,703875,96.05668786,1897451,744045.1473
17312,18738,23,22-Jul,859695,96.09559421,2085200,770754.798
17312,18738,23,22-Aug,820310,95.94054476,1902995.667,916696.4688
17312,18738,23,22-Sep,1022407,95.78549531,1720791.333,877311.4688
17312,18738,23,22-Oct,793755,95.63044586,1538587,930946.4702
17312,18738,23,22-Nov,686400,96.25260419,1540640,721381.1139
17312,18738,23,22-Dec,557349,96.87476252,1542693,614026.1139
17312,18738,23,23-Jan,693510,97.49692085,1544746,558917.4453
17312,18738,23,23-Feb,566725,97.51153752,1531303.667,696444.0172
17312,18738,23,23-Mar,434050,97.5261542,1517861.333,569659.0172
17312,18738,23,23-Apr,339625,97.54077087,1504419,430765.7515
17312,18738,23,23-May,484800,97.67877403,1666079,325821.2401
17312,18738,23,23-Jun,298896,97.81677719,1827739,470996.2401
17312,18738,23,23-Jul,414477,97.95478035,1989399,355360.6767
17312,18738,23,23-Aug,488500,98.00790019,1928636.667,513094.8169
17312,18738,23,23-Sep,405350,98.06102003,1867874.333,587117.8169
17312,18738,23,23-Oct,395760,98.11413988,1807112,414709.8993
17312,18738,23,23-Nov,456200,97.86083947,1870422.667,372168.8799
17312,18738,23,23-Dec,416918,97.60753905,1933733.333,432608.8799
17312,18738,23,24-Jan,559450,97.35423864,1997044,443117.2829
17312,18738,23,24-Feb,495170,97.28853189,1953184.333,476008.6345
17312,18738,23,24-Mar,485806,97.22282514,1909324.667,508899.986
17312,18738,23,24-Apr,707506,97.15711839,1865465,498783.9622
