Date,Business Group,Business,Value Center,    Processed History
20-Jun,00009771,00006274,00007336,18144
20-Jun,00013900,00016983,00017444,104881
20-Jun,00013900,00016983,00017445,1100
20-Jun,00021696,00007918,00007119,11505793
20-Jun,00021696,00007918,00007129,38976921
20-Jun,00021696,00007918,00009995,48793549
20-Jun,00021696,00013071,00007960,1677319
20-Jun,00021696,00013071,00013349,584900
20-Jun,00021696,00027295,00021701,3475862
20-Jun,00021696,00027295,00026846,5293087
20-Jun,00021696,00027304,00016762,1049614
20-Jun,00021696,00027304,00016796,941659
20-Jul,00009771,00006274,00007336,14288
20-Jul,00009771,00016982,00017334,8582
20-Jul,00013900,00016983,00017444,152420
20-Jul,00013900,00016983,00017445,4632
20-Jul,00021696,00007918,00007119,12217908
20-Jul,00021696,00007918,00007129,38690154
20-Jul,00021696,00007918,00009995,44001226
20-Jul,00021696,00013071,00007960,1038504
20-Jul,00021696,00013071,00013349,72025
20-Jul,00021696,00027295,00021701,4061536
20-Jul,00021696,00027295,00026846,4369705
20-Jul,00021696,00027304,00016762,1001672
20-Jul,00021696,00027304,00016796,875902
20-Jul,00024782,00026748,00007946,19976
20-Aug,00009771,00006274,00007336,18144
20-Aug,00013900,00016983,00017444,125443
20-Aug,00013900,00016983,00017445,7000
20-Aug,00021696,00007918,00007119,11972612
20-Aug,00021696,00007918,00007129,37998830
20-Aug,00021696,00007918,00009995,42950976
20-Aug,00021696,00013071,00007960,1537903
20-Aug,00021696,00013071,00013349,230962
20-Aug,00021696,00027295,00021701,3969525
20-Aug,00021696,00027295,00026846,4673503
20-Aug,00021696,00027304,00016762,1026914
20-Aug,00021696,00027304,00016796,690887
20-Sep,00009771,00006274,00007336,17237
20-Sep,00009771,00009808,00006340,142256
20-Sep,00013900,00016983,00017444,143467
20-Sep,00013900,00016983,00017445,23200
20-Sep,00021696,00007918,00007119,10774903
20-Sep,00021696,00007918,00007129,35501962
20-Sep,00021696,00007918,00009995,41362749
20-Sep,00021696,00013071,00007960,1756709
20-Sep,00021696,00013071,00013349,209474
20-Sep,00021696,00027295,00021701,3221155
20-Sep,00021696,00027295,00026846,4811609
20-Sep,00021696,00027304,00016762,936150
20-Sep,00021696,00027304,00016796,855716
20-Oct,00009771,00009808,00006340,182554
20-Oct,00013900,00016983,00017444,139658
20-Oct,00013900,00016983,00017445,2816
20-Oct,00021696,00007918,00007119,10467395
20-Oct,00021696,00007918,00007129,37843503
20-Oct,00021696,00007918,00009995,39045356
20-Oct,00021696,00013071,00007960,1620592
20-Oct,00021696,00013071,00013349,430709
20-Oct,00021696,00027295,00021701,4241627
20-Oct,00021696,00027295,00026846,5724111
20-Oct,00021696,00027304,00016762,915853
20-Oct,00021696,00027304,00016796,654311
20-Nov,00009771,00006274,00007336,18144
20-Nov,00009771,00009808,00006340,121999
20-Nov,00013900,00016983,00017444,140755
20-Nov,00013900,00016983,00017445,5600
20-Nov,00021696,00007918,00007119,10967156
20-Nov,00021696,00007918,00007129,34817722
20-Nov,00021696,00007918,00009995,40235210
20-Nov,00021696,00009814,00010270,20276
20-Nov,00021696,00013071,00007960,1506217
20-Nov,00021696,00013071,00013349,167962
20-Nov,00021696,00027295,00021701,2874951
