Value_Center_Code,Global_Industry_Code,Ship_To_Region_Code,Date,Processed History,X_53,Predicted Values
17009,18738,21,20-May,334168.3,2712025.667,
17009,18738,21,20-Jun,240300,2474765.333,
17009,18738,21,20-Jul,322885,2237505,
17009,18738,21,20-Aug,282560,2213762.333,
17009,18738,21,20-Sep,308164.5,2190019.667,
17009,18738,21,20-Oct,184555,2166277,
17009,18738,21,20-Nov,101805,2129690.333,
17009,18738,21,20-Dec,60990,2093103.667,
17009,18738,21,21-Jan,68210,2056517,
17009,18738,21,21-Feb,200660,2061176.333,
17009,18738,21,21-Mar,164885,2065835.667,
17009,18738,21,21-Apr,174025,2070495,
17009,18738,21,21-May,236830,2172903,
17009,18738,21,21-Jun,184225,2275311,144980
17009,18738,21,21-Jul,259894.4,2377719,239611.7
17009,18738,21,21-Aug,295860,2509444.333,206436.5
17009,18738,21,21-Sep,285820,2641169.667,256924.1
17009,18738,21,21-Oct,191800,2772895,142681.8
17009,18738,21,21-Nov,137530,2906957.667,74488.75
17009,18738,21,21-Dec,96600,3041020.333,51897.87
17009,18738,21,22-Jan,63900,3175083,72736.57
17009,18738,21,22-Feb,195184.5,3390435,205174.1
17009,18738,21,22-Mar,114020,3605787,169215.8
17009,18738,21,22-Apr,170205,3821139,166705.7
17009,18738,21,22-May,333740,3619824.667,233035.8
17009,18738,21,22-Jun,306740,3418510.333,209008
17009,18738,21,22-Jul,270144.5,3217196,312619.6
17009,18738,21,22-Aug,286770,3248686,340702.8
17009,18738,21,22-Sep,273340,3280176,320046.7
17009,18738,21,22-Oct,269420,3311666,217467.5
17009,18738,21,22-Nov,158544.5,3429874.333,180140.3
17009,18738,21,22-Dec,104240,3548082.667,137103.3
17009,18738,21,23-Jan,117950,3666291,99216.28
17009,18738,21,23-Feb,62110,3573525.333,238353.4
17009,18738,21,23-Mar,210720,3480759.667,115075.8
17009,18738,21,23-Apr,198210,3387994,198894.2
17009,18738,21,23-May,320120,3547846,365392.3
17009,18738,21,23-Jun,386760,3707698,330034.2
17009,18738,21,23-Jul,302700,3867550,311346.7
17009,18738,21,23-Aug,328310,3428573.667,329229.5
17009,18738,21,23-Sep,298775,2989597.333,318950.4
17009,18738,21,23-Oct,294450,2550621,313155.8
17009,18738,21,23-Nov,148480,2717777.667,200694.6
17009,18738,21,23-Dec,176270,2884934.333,136363.7
17009,18738,21,24-Jan,158400,3052091,163820.1
17009,18738,21,24-Feb,91839.3,3008158,111645.4
17009,18738,21,24-Mar,243790,2964225,263504.7
17009,18738,21,24-Apr,359860,2920292,253827.9
