Date,Business Group,Business,Value Center,    Processed History
20-Jun,00009771,00006274,00007336,3189493
20-Jun,00009771,00009807,00017529,3911953
20-Jun,00009771,00009807,00017530,1427009
20-Jun,00009771,00009808,00006340,1489398
20-Jun,00009771,00016979,00013588,57500
20-Jun,00009771,00016979,00017007,4473259
20-Jun,00009771,00016979,00017008,1883660
20-Jun,00009771,00016979,00017009,7166663
20-Jun,00009771,00016979,00017138,45666
20-Jun,00009771,00016979,00017312,506928
20-Jun,00009771,00016979,00027783,38325
20-Jun,00009771,00016982,00017334,1563765
20-Jun,00013066,00025519,00026803,1024934
20-Jun,00013066,00025618,00026649,200
20-Jun,00013066,00025618,00026812,3344467
20-Jun,00013066,00025618,00026813,79316
20-Jun,00013900,00013048,00010375,7600806
20-Jun,00013900,00013048,00017120,6560331
20-Jun,00013900,00013048,00017121,162978
20-Jun,00013900,00016983,00017444,1758691
20-Jun,00021696,00007918,00007119,7841167
20-Jun,00021696,00007918,00007129,12568455
20-Jun,00021696,00007918,00009995,31244564
20-Jun,00021696,00009814,00010269,1964872
20-Jun,00021696,00009814,00010270,204475
20-Jun,00021696,00013071,00007960,2255074
20-Jun,00021696,00013071,00013349,4187517
20-Jun,00021696,00027295,00021701,36560
20-Jun,00021696,00027295,00026846,3308087
20-Jun,00021696,00027304,00016796,396384
20-Jun,00024782,00026748,00006399,102131
20-Jun,00024782,00026748,00007946,288716
20-Jun,00024782,00026748,00017594,8001
20-Jun,00024782,00026749,00007952,385601
20-Jun,00024782,00026749,00010371,20412
20-Jun,00024782,00026749,00013147,183605
20-Jun,00024782,00026749,00013148,18162
20-Jun,00024782,00026749,00013567,968512
20-Jun,00024782,00026749,00017245,40805
20-Jul,00009771,00006274,00007336,3480033
20-Jul,00009771,00009807,00017529,4365111
20-Jul,00009771,00009807,00017530,1219372
20-Jul,00009771,00009808,00006340,1818951
20-Jul,00009771,00016979,00013588,148398
20-Jul,00009771,00016979,00017007,4134221
20-Jul,00009771,00016979,00017008,1856404
20-Jul,00009771,00016979,00017009,7124305
20-Jul,00009771,00016979,00017138,5676
20-Jul,00009771,00016979,00017312,493801
20-Jul,00009771,00016979,00027783,77494
20-Jul,00009771,00016982,00017334,1512071
20-Jul,00013066,00025519,00026803,995916
20-Jul,00013066,00025618,00026649,600
20-Jul,00013066,00025618,00026812,3639268
20-Jul,00013066,00025618,00026813,190805
20-Jul,00013900,00013048,00010375,6073098
20-Jul,00013900,00013048,00017120,6655768
20-Jul,00013900,00013048,00017121,79549
20-Jul,00013900,00016983,00017444,2365439
20-Jul,00013900,00016983,00017445,-191
20-Jul,00021696,00007918,00007119,5404544
20-Jul,00021696,00007918,00007129,11484508
20-Jul,00021696,00007918,00009995,28689120
20-Jul,00021696,00009814,00010269,2155660
20-Jul,00021696,00009814,00010270,255907
20-Jul,00021696,00013071,00007960,2125257
20-Jul,00021696,00013071,00013349,461097
20-Jul,00021696,00027295,00021701,18507
20-Jul,00021696,00027295,00026846,3970757
20-Jul,00021696,00027304,00016796,391129
20-Jul,00024782,00026748,00006399,101069
20-Jul,00024782,00026748,00006971,17236
20-Jul,00024782,00026748,00007946,145880
20-Jul,00024782,00026748,00007947,18144
20-Jul,00024782,00026749,00007952,657574
20-Jul,00024782,00026749,00013147,123635
20-Jul,00024782,00026749,00013567,980947
20-Jul,00024782,00026749,00017244,18307
20-Jul,00024782,00026749,00017245,61217
20-Aug,00009771,00006274,00007336,4177975
20-Aug,00009771,00009807,00017529,5861317
20-Aug,00009771,00009807,00017530,1255965
20-Aug,00009771,00009808,00006340,1813850
20-Aug,00009771,00016979,00013588,203000
20-Aug,00009771,00016979,00017007,4108393
20-Aug,00009771,00016979,00017008,1879097
20-Aug,00009771,00016979,00017009,7010670
20-Aug,00009771,00016979,00017138,44722
20-Aug,00009771,00016979,00017312,617670
20-Aug,00009771,00016979,00027783,13720
20-Aug,00009771,00016982,00017334,1863438
20-Aug,00013066,00025519,00026803,1623523
20-Aug,00013066,00025618,00026812,3882350
20-Aug,00013066,00025618,00026813,193993
20-Aug,00013900,00013048,00010375,9806534
20-Aug,00013900,00013048,00017120,7347035
20-Aug,00013900,00013048,00017121,408799
20-Aug,00013900,00016983,00017444,2507146
20-Aug,00013900,00016983,00017445,3000
20-Aug,00021696,00007918,00007119,5097175
20-Aug,00021696,00007918,00007129,11026157
20-Aug,00021696,00007918,00009995,28448518
20-Aug,00021696,00009814,00010269,1407285
20-Aug,00021696,00009814,00010270,77746
20-Aug,00021696,00013071,00007960,3354990
20-Aug,00021696,00013071,00013349,2092090
20-Aug,00021696,00027295,00021701,18869
20-Aug,00021696,00027295,00026846,4597277
20-Aug,00021696,00027304,00016796,335122
20-Aug,00024782,00026748,00006399,20593
20-Aug,00024782,00026748,00007946,4559
20-Aug,00024782,00026748,00017594,24226
20-Aug,00024782,00026748,00027666,1816
20-Aug,00024782,00026749,00007952,542703
20-Aug,00024782,00026749,00010371,20412
20-Aug,00024782,00026749,00013147,326187
20-Aug,00024782,00026749,00013148,20321
20-Aug,00024782,00026749,00013567,970605
20-Aug,00024782,00026749,00017244,17790
