Date,Business Group,Business,Value Center,    Processed History
21-Jun,00013066,00025618,00026813,654
21-Jun,00021696,00007918,00007119,247855
21-Jun,00021696,00013071,00007960,60808
21-Jun,00021696,00013071,00013349,197000
21-Jun,00024782,00026748,00007947,78437
21-Jun,00024782,00026749,00013147,40005
21-Jul,00009771,00009807,00012831,215522
21-Jul,00009771,00009807,00017529,5897
21-Jul,00009771,00009807,00017530,31751
21-Jul,00013066,00025519,00026803,36691
21-Jul,00013066,00025618,00026812,151652
21-Jul,00021696,00007918,00007119,109602
21-Jul,00021696,00013071,00007960,31345
21-Jul,00021696,00013071,00013349,256000
21-Jul,00024782,00026748,00007947,93591
21-Jul,00024782,00026749,00013147,40018
21-Aug,00009771,00009807,00012831,290197
21-Aug,00009771,00009807,00017530,14832
21-Aug,00009771,00009807,00017534,6577
21-Aug,00013066,00025519,00026803,54594
21-Aug,00013066,00025618,00026812,180291
21-Aug,00013066,00025618,00026813,1800
21-Aug,00021696,00007918,00007119,106587
21-Aug,00021696,00013071,00007960,34273
21-Aug,00021696,00013071,00013349,313982
21-Aug,00024782,00026748,00007947,240145
21-Aug,00024782,00026749,00013147,24766
21-Sep,00009771,00009807,00012831,229039
21-Sep,00009771,00009807,00017529,2948
21-Sep,00009771,00009807,00017530,15785
21-Sep,00013066,00025519,00026803,36368
21-Sep,00013066,00025618,00026812,116573
21-Sep,00013066,00025618,00026813,1805
21-Sep,00021696,00013071,00007960,5400
21-Sep,00021696,00013071,00013349,313000
21-Sep,00024782,00026748,00007947,382080
21-Oct,00009771,00009807,00012831,224317
21-Oct,00009771,00009807,00017529,1542
21-Oct,00009771,00009807,00017530,14832
21-Oct,00009771,00009807,00017534,2631
21-Oct,00013066,00025618,00026812,96444
21-Oct,00013066,00025618,00026813,1200
21-Oct,00021696,00013071,00007960,80878
21-Oct,00021696,00013071,00013349,306000
21-Oct,00024782,00026748,00007947,375757
21-Oct,00024782,00026749,00013147,19876
21-Nov,00009771,00009807,00012831,370642
21-Nov,00009771,00009807,00017529,2948
21-Nov,00009771,00009807,00017530,4536
21-Nov,00009771,00009807,00017534,2631
21-Nov,00013066,00025618,00026812,166137
21-Nov,00013066,00025618,00026813,1802
21-Nov,00021696,00007918,00007119,75380
21-Nov,00021696,00013071,00007960,5400
21-Nov,00021696,00013071,00013349,344000
21-Nov,00024782,00026748,00007947,879242
21-Nov,00024782,00026749,00013147,39885
21-Dec,00009771,00009807,00012831,163962
21-Dec,00009771,00009807,00017529,5897
21-Dec,00009771,00009807,00017530,25492
21-Dec,00009771,00009807,00017534,2631
21-Dec,00013066,00025618,00026812,177239
21-Dec,00013066,00025618,00026813,2400
21-Dec,00021696,00007918,00007119,89420
21-Dec,00021696,00013071,00007960,37739
21-Dec,00021696,00013071,00013349,235000
21-Dec,00024782,00026748,00007947,4394905
21-Dec,00024782,00026749,00013147,98557
22-Jan,00009771,00009807,00012831,179886
22-Jan,00009771,00009807,00017529,5897
22-Jan,00009771,00009807,00017530,15785
22-Jan,00009771,00009807,00017534,2631
22-Jan,00013066,00025519,00026803,32854
22-Jan,00013066,00025618,00026812,224498
22-Jan,00013066,00025618,00026813,1800
22-Jan,00021696,00007918,00007119,122530
22-Jan,00021696,00013071,00007960,18869
22-Jan,00021696,00013071,00013349,362000
22-Jan,00024782,00026748,00007947,3670438
22-Feb,00009771,00009807,00012831,204962
22-Feb,00009771,00009807,00017529,5897
22-Feb,00009771,00009807,00017530,15785
22-Feb,00009771,00009807,00017534,2631
22-Feb,00009771,00009808,00006340,20421
22-Feb,00013066,00025519,00026803,18957
22-Feb,00013066,00025618,00026812,219158
22-Feb,00013066,00025618,00026813,3418
22-Feb,00021696,00007918,00007119,103250
22-Feb,00021696,00013071,00007960,43139
22-Feb,00021696,00013071,00013349,275000
22-Feb,00024782,00026748,00007947,2801444
22-Feb,00024782,00026749,00013147,100507
22-Mar,00009771,00009807,00012831,292332
22-Mar,00009771,00009807,00017529,2948
22-Mar,00009771,00009807,00017530,15966
22-Mar,00009771,00009807,00017534,2631
22-Mar,00013066,00025519,00026803,70027
22-Mar,00013066,00025618,00026812,271707
22-Mar,00013066,00025618,00026813,2800
22-Mar,00021696,00007918,00007119,127510
22-Mar,00021696,00013071,00007960,43139
22-Mar,00021696,00013071,00013349,302000
22-Mar,00021696,00027295,00026846,2600
22-Mar,00024782,00026748,00007947,2632769
22-Mar,00024782,00026749,00013147,133393
22-Apr,00009771,00009807,00012831,247991
22-Apr,00009771,00009807,00017529,7439
22-Apr,00009771,00009807,00017530,15966
22-Apr,00013066,00025519,00026803,53415
22-Apr,00013066,00025618,00026812,174135
22-Apr,00013066,00025618,00026813,2836
22-Apr,00021696,00007918,00007119,217820
22-Apr,00021696,00013071,00007960,31253
22-Apr,00021696,00013071,00013349,252000
22-Apr,00024782,00026748,00007947,718573
22-Apr,00024782,00026748,00017064,2016
22-May,00009771,00009807,00012831,292705
22-May,00009771,00009807,00017529,7439
22-May,00009771,00009807,00017530,15785
22-May,00009771,00009807,00017534,2631
22-May,00013066,00025618,00026812,215016
22-May,00013066,00025618,00026813,2110
22-May,00021696,00007918,00007119,186180
22-May,00021696,00013071,00007960,18869
22-May,00021696,00013071,00013349,293000
22-May,00024782,00026748,00007947,158973
22-Jun,00009771,00009807,00012831,173692
22-Jun,00009771,00009807,00017529,2948
22-Jun,00009771,00009807,00017530,15966
22-Jun,00013066,00025618,00026812,185158
22-Jun,00013066,00025618,00026813,2100
22-Jun,00021696,00007918,00007119,215670
22-Jun,00021696,00013071,00007960,39011
22-Jun,00021696,00013071,00013349,218000
22-Jun,00024782,00026748,00007947,130186
22-Jul,00009771,00009807,00012831,225642
22-Jul,00009771,00009807,00017529,2948
22-Jul,00009771,00009807,00017530,10251
22-Jul,00009771,00009807,00017534,2631
22-Jul,00013066,00025519,00026803,2000
22-Jul,00013066,00025618,00026812,199578
22-Jul,00013066,00025618,00026813,2936
22-Jul,00021696,00007918,00007119,247540
22-Jul,00021696,00013071,00007960,80539
22-Jul,00021696,00013071,00013349,311000
22-Jul,00021696,00027295,00026846,9750
22-Jul,00024782,00026748,00007947,51963
22-Jul,00024782,00026749,00013147,19495
22-Aug,00009771,00009807,00012831,264180
22-Aug,00009771,00009807,00017529,2948
22-Aug,00009771,00009807,00017530,31570
22-Aug,00009771,00009807,00017534,2631
22-Aug,00013066,00025618,00026812,223819
22-Aug,00013066,00025618,00026813,3201
22-Aug,00021696,00007918,00007119,65560
22-Aug,00021696,00013071,00007960,37739
22-Aug,00021696,00013071,00013349,291000
