Value_Center_Code,Global_Industry_Code,Ship_To_Region_Code,Date,Processed History,X_232,Predicted Values
17444,11730,23,20-May,114619.2,91.56151625,
17444,11730,23,20-Jun,104881,91.97244727,
17444,11730,23,20-Jul,152419.5,92.3833783,
17444,11730,23,20-Aug,125443,93.5843237,
17444,11730,23,20-Sep,143467.3,94.7852691,125940.3
17444,11730,23,20-Oct,139658.5,95.98621451,156150.3
17444,11730,23,20-Nov,140755.5,96.58319146,155766.8
17444,11730,23,20-Dec,110879.2,97.18016841,142407.5
17444,11730,23,21-Jan,102854.5,97.77714536,113019.1
17444,11730,23,21-Feb,139876.2,97.88199643,99496.99
17444,11730,23,21-Mar,144661.7,97.98684751,120348.2
17444,11730,23,21-Apr,111873,98.09169858,129435.5
17444,11730,23,21-May,131044.3,98.66805597,123062.1
17444,11730,23,21-Jun,142373.7,99.24441336,120546.8
17444,11730,23,21-Jul,119708.8,99.82077075,149359.6
17444,11730,23,21-Aug,131211.9,100.0273946,140434.1
17444,11730,23,21-Sep,118060.5,100.2340184,125881.1
17444,11730,23,21-Oct,110067.7,100.4406422,116204.7
17444,11730,23,21-Nov,102554.4,101.6758668,109431.3
17444,11730,23,21-Dec,108962.9,102.9110914,107135.4
17444,11730,23,22-Jan,100585,104.146316,134374
17444,11730,23,22-Feb,108798.7,105.1446133,122846.3
17444,11730,23,22-Mar,147011.1,106.1429105,106545.1
17444,11730,23,22-Apr,104555.6,107.1412078,121435.1
17444,11730,23,22-May,138941.7,107.0958571,126607.5
17444,11730,23,22-Jun,140176,107.0505063,121640.6
17444,11730,23,22-Jul,102638.7,107.0051556,112354.3
17444,11730,23,22-Aug,166947.1,106.223656,108012.1
17444,11730,23,22-Sep,284551.1,105.4421564,130985.7
17444,11730,23,22-Oct,-127693.9,104.6606567,198391.5
17444,11730,23,22-Nov,83917.1,105.1452793,89892.46
17444,11730,23,22-Dec,73692.3,105.6299018,0
17444,11730,23,23-Jan,79121.9,106.1145243,113123.3
17444,11730,23,23-Feb,65887.4,106.5103975,95788.92
17444,11730,23,23-Mar,93415.4,106.9062707,74184.14
17444,11730,23,23-Apr,76334.7,107.3021439,76504.5
17444,11730,23,23-May,88146.8,106.3723421,85293.26
17444,11730,23,23-Jun,84507.8,105.4425404,82303.43
17444,11730,23,23-Jul,65667.7,104.5127386,50428.39
17444,11730,23,23-Aug,79126.2,104.7027606,54759.36
17444,11730,23,23-Sep,69536.6,104.8927826,69865.27
17444,11730,23,23-Oct,69173.4,105.0828045,104266.4
17444,11730,23,23-Nov,82121.3,105.2825004,86346.42
17444,11730,23,23-Dec,68516.9,105.4821963,75256.24
17444,11730,23,24-Jan,73231.3,105.6818922,76733.59
17444,11730,23,24-Feb,118292.9,105.9861776,72669.69
17444,11730,23,24-Mar,112034.2,106.2904631,75313.28
17444,11730,23,24-Apr,117890.6,106.5947485,77122.69
