Date,Business Group,Business,Value Center,    Processed History
20-Jun,00009771,00006274,00007336,184322
20-Jun,00009771,00009807,00017530,8179
20-Jun,00009771,00009808,00006340,160609
20-Jun,00009771,00016982,00017334,20312
20-Jun,00021696,00007918,00007129,536537
20-Jun,00021696,00007918,00009995,832024
20-Jun,00021696,00027295,00026846,1250
20-Jun,00024782,00026748,00006399,20584
20-Jun,00024782,00026748,00006971,355583
20-Jun,00024782,00026748,00007946,419084
20-Jun,00024782,00026748,00017594,19967
20-Jun,00024782,00026749,00013147,119059
20-Jun,00024782,00026749,00013148,142328
20-Jun,00024782,00026749,00013567,9841679
20-Jun,00024782,00026749,00017244,1051472
20-Jul,00009771,00006274,00007336,305258
20-Jul,00009771,00009807,00017530,12710
20-Jul,00009771,00009808,00006340,61009
20-Jul,00009771,00016982,00017334,20248
20-Jul,00021696,00007918,00007129,683743
20-Jul,00021696,00007918,00009995,1019357
20-Jul,00024782,00026748,00006399,203119
20-Jul,00024782,00026748,00006971,208657
20-Jul,00024782,00026748,00007946,198800
20-Jul,00024782,00026748,00017594,59929
20-Jul,00024782,00026748,00018184,32586
20-Jul,00024782,00026749,00013147,20393
20-Jul,00024782,00026749,00013148,157801
20-Jul,00024782,00026749,00013567,6111163
20-Jul,00024782,00026749,00017244,867023
20-Jul,00024782,00026749,00017245,20013
20-Aug,00009771,00006274,00007336,246618
20-Aug,00009771,00009807,00017530,1200
20-Aug,00009771,00009808,00006340,81647
20-Aug,00009771,00016982,00017334,19958
20-Aug,00021696,00007918,00007129,370550
20-Aug,00021696,00007918,00009995,984521
20-Aug,00024782,00026748,00006399,101759
20-Aug,00024782,00026748,00006971,228061
20-Aug,00024782,00026748,00007946,197594
20-Aug,00024782,00026748,00017594,41068
20-Aug,00024782,00026748,00018184,32586
20-Aug,00024782,00026749,00013147,247208
20-Aug,00024782,00026749,00013148,20294
20-Aug,00024782,00026749,00013567,5760556
20-Aug,00024782,00026749,00017244,821383
20-Aug,00024782,00026749,00017245,20412
20-Sep,00009771,00006274,00007336,263156
20-Sep,00009771,00009807,00017530,4641
20-Sep,00009771,00009808,00006340,40778
20-Sep,00009771,00016982,00017334,20375
20-Sep,00021696,00007918,00007129,521327
20-Sep,00021696,00007918,00009995,1361928
20-Sep,00021696,00027295,00026846,5000
20-Sep,00024782,00026748,00006971,414599
20-Sep,00024782,00026748,00007946,586909
20-Sep,00024782,00026748,00017594,20421
20-Sep,00024782,00026748,00018184,35888
20-Sep,00024782,00026749,00013147,74752
20-Sep,00024782,00026749,00013148,96975
20-Sep,00024782,00026749,00013567,5745030
20-Sep,00024782,00026749,00017244,726255
20-Sep,00024782,00026749,00017245,20403
20-Oct,00009771,00006274,00007336,161533
