Date,Business Group,Business,Value Center,    Processed History
20-Jun,00009771,00006274,00007336,166015
20-Jun,00009771,00009807,00017529,48612
20-Jun,00009771,00016979,00013588,55500
20-Jun,00009771,00016979,00017007,358945
20-Jun,00009771,00016979,00017008,252080
20-Jun,00009771,00016979,00017009,268330
20-Jun,00009771,00016979,00017312,57608
20-Jun,00009771,00016979,00027783,2710
20-Jun,00009771,00016982,00017334,19187
20-Jun,00013066,00025519,00026803,62983
20-Jun,00013066,00025618,00026812,659688
20-Jun,00013066,00025618,00026813,15959
20-Jun,00013900,00013048,00010375,258266
20-Jun,00013900,00016983,00017444,326295
20-Jun,00021696,00007918,00007119,1306235
20-Jun,00021696,00007918,00007129,1546544
20-Jun,00021696,00007918,00009995,4270341
20-Jun,00021696,00013071,00007960,18700
20-Jun,00021696,00027295,00026846,25250
20-Jun,00021696,00027304,00016796,115810
20-Jun,00024782,00026748,00017594,40651
20-Jul,00009771,00009807,00017529,100194
20-Jul,00009771,00016979,00013588,7862
20-Jul,00009771,00016979,00017007,255137
20-Jul,00009771,00016979,00017008,185070
20-Jul,00009771,00016979,00017009,347376
20-Jul,00009771,00016979,00017312,27847
20-Jul,00013066,00025519,00026803,80538
20-Jul,00013066,00025618,00026812,679500
20-Jul,00013066,00025618,00026813,1430
20-Jul,00013900,00013048,00010375,319565
20-Jul,00013900,00013048,00017120,39971
20-Jul,00013900,00016983,00017444,311458
20-Jul,00021696,00007918,00007119,1040790
20-Jul,00021696,00007918,00007129,1312477
20-Jul,00021696,00007918,00009995,4541395
20-Jul,00021696,00009814,00010269,79923
20-Jul,00021696,00013071,00007960,30800
20-Jul,00021696,00027295,00026846,72600
20-Jul,00021696,00027304,00016796,129210
20-Jul,00024782,00026748,00017594,40723
20-Aug,00009771,00006274,00007336,84844
20-Aug,00009771,00009807,00017529,35553
20-Aug,00009771,00016979,00013588,2000
20-Aug,00009771,00016979,00017007,383095
20-Aug,00009771,00016979,00017008,194840
20-Aug,00009771,00016979,00017009,287830
20-Aug,00009771,00016979,00017312,51150
20-Aug,00009771,00016979,00027783,1700
20-Aug,00009771,00016982,00017334,19187
20-Aug,00013066,00025519,00026803,106261
20-Aug,00013066,00025618,00026812,532491
20-Aug,00013066,00025618,00026813,1259
20-Aug,00013900,00013048,00010375,241511
20-Aug,00013900,00013048,00017120,59529
20-Aug,00013900,00016983,00017444,337999
20-Aug,00021696,00007918,00007119,328013
20-Aug,00021696,00007918,00007129,729321
20-Aug,00021696,00007918,00009995,5210903
20-Aug,00021696,00013071,00007960,17690
20-Aug,00021696,00027295,00026846,40100
20-Aug,00021696,00027304,00016796,78260
20-Aug,00024782,00026748,00017594,60881
20-Sep,00009771,00006274,00007336,83053
20-Sep,00009771,00009807,00017529,71586
20-Sep,00009771,00016979,00013588,2500
20-Sep,00009771,00016979,00017007,485739
20-Sep,00009771,00016979,00017008,198249
20-Sep,00009771,00016979,00017009,331350
20-Sep,00009771,00016979,00017312,10550
20-Sep,00009771,00016979,00027783,1640
20-Sep,00009771,00016982,00017334,23451
20-Sep,00013066,00025519,00026803,28336
20-Sep,00013066,00025618,00026812,541738
20-Sep,00013066,00025618,00026813,3141
20-Sep,00013900,00013048,00010375,443150
20-Sep,00013900,00013048,00017120,59965
20-Sep,00013900,00016983,00017444,498121
20-Sep,00021696,00007918,00007119,330043
20-Sep,00021696,00007918,00007129,1393797
20-Sep,00021696,00007918,00009995,4158107
20-Sep,00021696,00027295,00026846,44000
20-Sep,00021696,00027304,00016796,76800
20-Sep,00024782,00026748,00017594,40678
20-Oct,00009771,00006274,00007336,165516
20-Oct,00009771,00009807,00017529,72493
20-Oct,00009771,00016979,00013588,23000
20-Oct,00009771,00016979,00017007,482909
20-Oct,00009771,00016979,00017008,232820
20-Oct,00009771,00016979,00017009,189398
20-Oct,00009771,00016979,00017312,24900
20-Oct,00009771,00016979,00027783,2000
20-Oct,00009771,00016982,00017334,12791
20-Oct,00013066,00025519,00026803,19933
20-Oct,00013066,00025618,00026812,602057
20-Oct,00013066,00025618,00026813,190
20-Oct,00013900,00013048,00010375,362375
20-Oct,00013900,00013048,00017120,39980
20-Oct,00013900,00016983,00017444,368801
20-Oct,00021696,00007918,00007119,355332
20-Oct,00021696,00007918,00007129,886394
20-Oct,00021696,00007918,00009995,3900733
20-Oct,00021696,00027295,00026846,49200
20-Oct,00021696,00027304,00016796,104260
20-Oct,00024782,00026748,00017594,20366
20-Nov,00009771,00009807,00017529,96316
20-Nov,00009771,00016979,00013588,2000
20-Nov,00009771,00016979,00017007,297470
20-Nov,00009771,00016979,00017008,238860
20-Nov,00009771,00016979,00017009,123663
20-Nov,00009771,00016979,00017312,3600
20-Nov,00009771,00016979,00027783,800
20-Nov,00013066,00025519,00026803,62418
20-Nov,00013066,00025618,00026812,705998
20-Nov,00013066,00025618,00026813,898
20-Nov,00013900,00013048,00010375,340539
20-Nov,00013900,00013048,00017120,60146
20-Nov,00013900,00016983,00017444,402148
20-Nov,00021696,00007918,00007119,678355
20-Nov,00021696,00007918,00007129,411074
20-Nov,00021696,00007918,00009995,3212599
20-Nov,00021696,00013071,00007960,37739
20-Nov,00021696,00027295,00026846,53000
20-Nov,00021696,00027304,00016796,77810
20-Nov,00024782,00026748,00017594,40179
20-Dec,00009771,00009807,00017529,33702
20-Dec,00009771,00016979,00017007,279851
20-Dec,00009771,00016979,00017008,156200
20-Dec,00009771,00016979,00017009,101280
20-Dec,00009771,00016979,00017312,22200
20-Dec,00009771,00016979,00027783,2480
